id,name,host_id,host_is_superhost,host_total_listings_count,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,amenities,price,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,review_scores_rating,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value
2441,"Cozy Artist’s Abode, NE Mpls - Pets, Wifi, Roku TV",2680,True,2,Hennepin,45.00862,-93.23424,Entire home,Entire home/apt,5,10.0,1.0,"[""Hot water"", ""Keypad"", ""Long term stays allowed"", ""Wifi"", ""Dedicated workspace"", ""Hangers"", ""First aid kit"", ""Free parking on premises"", ""Refrigerator"", ""Essentials"", ""Cooking basics"", ""Free street parking"", ""Shared patio or balcony"", ""Private entrance"", ""Iron"", ""Shampoo"", ""Dishes and silverware"", ""Pets allowed"", ""Coffee maker"", ""Microwave"", ""Smoke alarm"", ""Stove"", ""BBQ grill"", ""Heating"", ""Single level home"", ""TV with standard cable"", ""Baby safety gates"", ""Window AC unit"", ""Room-darkening shades"", ""Security cameras on property"", ""Kitchen"", ""Shared backyard \u2013 Fully fenced"", ""Oven"", ""Self check-in"", ""Bathtub"", ""Luggage dropoff allowed"", ""Hair dryer"", ""Fire extinguisher"", ""Carbon monoxide alarm""]",91.0,True,24,24,24,24,298,4.8,4.72,4.93,4.93,4.8,4.71
2396616,The Cathedral Suite,12243618,True,4,Ramsey,44.94655,-93.11327,Room in boutique hotel,Private room,2,10.0,1.0,"[""Hot water"", ""Keypad"", ""Essentials"", ""Bed linens"", ""Coffee maker"", ""Wifi"", ""Hangers"", ""Extra pillows and blankets"", ""Smoke alarm"", ""Dishes and silverware"", ""Air conditioning"", ""Self check-in"", ""Free parking on premises"", ""Heating"", ""Refrigerator"", ""Shampoo"", ""Hair dryer"", ""TV with standard cable""]",186.0,True,25,51,78,350,35,5.0,5.0,4.91,4.97,5.0,4.91
2437421,The Storybook Suite,12243618,True,4,Ramsey,44.94707,-93.11483,Room in boutique hotel,Private room,2,10.0,1.0,"[""Hot water"", ""Keypad"", ""Essentials"", ""Backyard"", ""Bed linens"", ""Wifi"", ""Hangers"", ""Security cameras on property"", ""Smoke alarm"", ""Air conditioning"", ""Self check-in"", ""Free parking on premises"", ""Heating"", ""Shampoo"", ""Hair dryer"", ""TV with standard cable""]",163.0,True,26,54,82,348,16,5.0,5.0,5.0,5.0,5.0,5.0
2461261,Bedroom in family home,12585390,True,2,Ramsey,44.94293,-93.1499,Private room in home,Private room,1,1050.0,1.0,"[""Hot water"", ""Dining table"", ""Long term stays allowed"", ""Bed linens"", ""Dedicated workspace"", ""Hangers"", ""First aid kit"", ""TV"", ""Refrigerator"", ""Clothing storage: closet"", ""Outdoor furniture"", ""Free parking on premises"", ""Ceiling fan"", ""Essentials"", ""Hot water kettle"", ""Cooking basics"", ""Ethernet connection"", ""Lock on bedroom door"", ""Blender"", ""Free street parking"", ""Iron"", ""Dishes and silverware"", ""Toaster"", ""Radiant heating"", ""Shared BBQ grill: charcoal"", ""Wine glasses"", ""Wifi \u2013 13 Mbps"", ""Coffee maker"", ""Microwave"", ""Extra pillows and blankets"", ""Piano"", ""Freezer"", ""Smoke alarm"", ""Stove"", ""Laundromat nearby"", ""Coffee"", ""Rice maker"", ""Backyard"", ""Portable fans"", ""Cleaning products"", ""Barbecue utensils"", ""Kitchen"", ""Oven"", ""Baking sheet"", ""Luggage dropoff allowed"", ""Hair dryer"", ""Bathtub"", ""Carbon monoxide alarm""]",85.0,True,0,20,50,325,37,4.62,3.97,5.0,4.97,4.86,4.63
2590405,Get Cozy in our Fabulous Uptown Home,115268,True,4,Hennepin,44.94435,-93.30252,Entire home,Entire home/apt,4,10.0,2.0,"[""Hot water"", ""Dining table"", ""Free washer \u2013 In building"", ""Bed linens"", ""Pack \u2019n play/Travel crib - available upon request"", ""Dishwasher"", ""Long term stays allowed"", ""Wifi"", ""Dedicated workspace"", ""Hangers"", ""Drying rack for clothing"", ""Shower gel"", ""Exercise equipment: free weights, stationary bike, yoga mat"", ""First aid kit"", ""Refrigerator"", ""Clothing storage: closet"", ""High chair"", ""Outdoor furniture"", ""Dryer"", ""Fire extinguisher"", ""Essentials"", ""Lake access"", ""Hot water kettle"", ""Cooking basics"", ""Blender"", ""Free street parking"", ""Shared patio or balcony"", ""Private entrance"", ""Luggage dropoff allowed"", ""Iron"", ""Shampoo"", ""Dishes and silverware"", ""Toaster"", ""Pets allowed"", ""Wine glasses"", ""Generic conditioner"", ""AC - split type ductless system"", ""Microwave"", ""Extra pillows and blankets"", ""Freezer"", ""Public or shared beach access"", ""Smoke alarm"", ""Stove"", ""Coffee maker: drip coffee maker, french press"", ""Record player"", ""Shared gym in building"", ""Heating"", ""Laundromat nearby"", ""Coffee"", ""TV with standard cable"", ""Baby safety gates"", ""Board games"", ""Window AC unit"", ""Generic body soap"", ""Portable fans"", ""Cleaning products"", ""Outdoor dining area"", ""Lockbox"", ""Kitchen"", ""Oven"", ""Baking sheet"", ""Self check-in"", ""Books and reading material"", ""Hair dryer"", ""Bathtub"", ""Carbon monoxide alarm""]",195.0,True,28,58,81,114,6,5.0,5.0,5.0,5.0,5.0,4.67
2626184,Beautiful Home / Beautiful Garden,13449858,False,9,Dakota,44.85879,-93.06186,Private room in bed and breakfast,Private room,3,60.0,6.0,"[""Fire extinguisher"", ""Essentials"", ""Indoor fireplace"", ""Wifi"", ""Carbon monoxide alarm"", ""Smoke alarm"", ""First aid kit"", ""Air conditioning"", ""Kitchen"", ""Breakfast"", ""Free parking on premises"", ""Heating"", ""Shampoo"", ""Washer"", ""TV with standard cable"", ""Dryer""]",250.0,True,28,58,88,363,16,4.94,4.94,4.94,5.0,5.0,4.94
2720490,Guest suite. Walk to shops.,13195379,True,2,Hennepin,44.84507,-93.42088,Private room in home,Private room,2,10.0,1.0,"[""Hot water"", ""Dining table"", ""Long term stays allowed"", ""Bed linens"", ""Wifi"", ""Hangers"", ""Drying rack for clothing"", ""Shower gel"", ""Private living room"", ""First aid kit"", ""Shared outdoor pool - available seasonally, open specific hours"", ""Free parking on premises"", ""Dryer"", ""Essentials"", ""Lock on bedroom door"", ""Iron"", ""Shampoo"", ""Washer"", ""Dishes and silverware"", ""Toaster"", ""Body soap"", ""Coffee maker"", ""Mini fridge"", ""Microwave"", ""Extra pillows and blankets"", ""Clothing storage: walk-in closet and dresser"", ""Smoke alarm"", ""Air conditioning"", ""Heating"", ""Conditioner"", ""Mini refrigerator"", ""Coffee"", ""Board games"", ""Portable fans"", ""Cleaning products"", ""Room-darkening shades"", ""Security cameras on property"", ""Kitchen"", ""Smart lock"", ""Self check-in"", ""Luggage dropoff allowed"", ""Hair dryer"", ""TV with Fire TV, Amazon Prime Video"", ""Carbon monoxide alarm""]",35.0,True,7,28,58,314,180,4.93,4.94,4.96,4.96,4.94,4.94
2776924,Secluded Lake Home with Hot Tub and Huge Yard,1575131,True,6,Dakota,44.87312,-93.07334,Entire home,Entire home/apt,16,2050.0,5.0,"[""Hot water"", ""Pack \u2019n play/Travel crib - always at the listing"", ""Keypad"", ""Dining table"", ""Bed linens"", ""Central air conditioning"", ""Dishwasher"", ""Indoor fireplace: wood-burning"", ""Wifi"", ""Dedicated workspace"", ""Hangers"", ""Shower gel"", ""First aid kit"", ""Free parking on premises"", ""Refrigerator"", ""Clothing storage: closet"", ""Outdoor furniture"", ""Free washer \u2013 In unit"", ""Fire extinguisher"", ""Essentials"", ""Kayak"", ""Lake access"", ""Bidet"", ""Hot water kettle"", ""70\"" HDTV with Hulu, Netflix"", ""Fire pit"", ""Cooking basics"", ""Blender"", ""Free street parking"", ""Iron"", ""Shampoo"", ""Dishes and silverware"", ""Toaster"", ""Pets allowed"", ""Hammock"", ""Wine glasses"", ""Private backyard \u2013 Not fully fenced"", ""Coffee maker"", ""Microwave"", ""Extra pillows and blankets"", ""Lake view"", ""Smoke alarm"", ""BBQ grill"", ""Heating"", ""Stainless steel electric stove"", ""Private patio or balcony"", ""Coffee"", ""Tresemme conditioner"", ""Rice maker"", ""Portable fans"", ""Bose and Sonos Bluetooth sound system"", ""Cleaning products"", ""Room-darkening shades"", ""Barbecue utensils"", ""Outdoor dining area"", ""Security cameras on property"", ""Kitchen"", ""Free dryer \u2013 In unit"", ""Oven"", ""Waterfront"", ""Self check-in"", ""Private hot tub - available all year, open 24 hours"", ""Books and reading material"", ""Hair dryer"", ""Bathtub"", ""Carbon monoxide alarm""]",1750.0,True,0,0,0,1,280,4.86,4.78,4.97,4.91,4.86,4.69
2905607,NeoEden's Peace Room-pvt rm in hostel-style home,8562602,False,11,Hennepin,44.95515,-93.28672,Private room in home,Private room,1,20.0,1.0,"[""Hot water"", ""Keypad"", ""Wifi"", ""Dedicated workspace"", ""First aid kit"", ""Outdoor kitchen"", ""TV"", ""Refrigerator"", ""Children\u2019s dinnerware"", ""High chair"", ""Outdoor furniture"", ""Essentials"", ""Fire pit"", ""Cooking basics"", ""Free street parking"", ""Iron"", ""Dishes and silverware"", ""Children\u2019s books and toys"", ""Hammock"", ""Coffee maker"", ""Patio or balcony"", ""Smoke alarm"", ""BBQ grill"", ""Heating"", ""Outdoor dining area"", ""Kitchen"", ""Shared backyard \u2013 Fully fenced"", ""Self check-in"", ""Hair dryer"", ""Fire extinguisher"", ""Carbon monoxide alarm""]",29.0,True,30,60,66,296,21,4.5,4.3,4.6,4.6,4.85,4.7
2913088,NeoEdens Guardian Room,8562602,False,11,Hennepin,44.95608,-93.28649,Private room in home,Private room,1,10.0,1.0,"[""Hot water"", ""Long term stays allowed"", ""Bed linens"", ""Wifi"", ""Dedicated workspace"", ""TV"", ""Refrigerator"", ""Children\u2019s dinnerware"", ""Essentials"", ""Hot water kettle"", ""Fire pit"", ""Cooking basics"", ""Exercise equipment"", ""Iron"", ""Children\u2019s books and toys for ages 5-10 years old"", ""Dishes and silverware"", ""Toaster"", ""Coffee maker"", ""Extra pillows and blankets"", ""Smoke alarm"", ""Stove"", ""Record player"", ""Heating"", ""Laundromat nearby"", ""Rice maker"", ""Backyard"", ""Portable fans"", ""Lockbox"", ""Kitchen"", ""Oven"", ""Baking sheet"", ""Self check-in"", ""Luggage dropoff allowed"", ""Hair dryer"", ""Bathtub"", ""Carbon monoxide alarm""]",21.0,True,9,9,9,9,32,4.38,4.19,4.65,4.72,4.77,4.71
